it, train, val, acc 
31, 6.513978, 6.426892, 0.000000 
62, 5.913691, 5.816124, 0.000000 
93, 5.243765, 5.126050, 0.000000 
124, 4.490103, 4.353388, 0.000000 
155, 3.710922, 3.558425, 0.101562 
186, 2.980854, 2.826256, 0.562500 
217, 2.361866, 2.200232, 0.742188 
248, 1.861681, 1.707853, 0.859375 
279, 1.491858, 1.373410, 0.757812 
310, 1.219062, 1.130592, 0.750000 
341, 1.049507, 0.949479, 0.734375 
372, 0.931987, 0.829420, 0.742188 
403, 0.833167, 0.732435, 0.796875 
434, 0.763246, 0.662301, 0.726562 
465, 0.713434, 0.699072, 0.664062 
496, 0.710305, 0.600646, 0.750000 
527, 0.647123, 0.589991, 0.679688 
558, 0.638594, 0.544050, 0.718750 
589, 0.651316, 0.577629, 0.835938 
620, 0.574917, 0.537780, 0.765625 
651, 0.563086, 0.556159, 0.750000 
682, 0.546199, 0.515618, 0.789062 
713, 0.596119, 0.548760, 0.734375 
744, 0.556495, 0.525133, 0.750000 
775, 0.570437, 0.503506, 0.742188 
806, 0.555682, 0.582929, 0.726562 
837, 0.562950, 0.515372, 0.773438 
868, 0.554825, 0.577245, 0.812500 
899, 0.509949, 0.475095, 0.773438 
930, 0.520342, 0.475917, 0.734375 
961, 0.567291, 0.539018, 0.695312 
992, 0.546842, 0.513333, 0.765625 
1023, 0.572462, 0.464315, 0.710938 
1054, 0.524507, 0.469725, 0.734375 
1085, 0.555223, 0.472395, 0.765625 
1116, 0.585661, 0.529451, 0.750000 
1147, 0.507191, 0.500935, 0.679688 
1178, 0.539421, 0.488430, 0.679688 
1209, 0.499444, 0.472090, 0.804688 
1240, 0.544959, 0.501141, 0.710938 
1271, 0.506226, 0.480788, 0.773438 
1302, 0.544378, 0.485413, 0.765625 
1333, 0.529230, 0.491631, 0.726562 
1364, 0.498492, 0.475684, 0.773438 
1395, 0.505086, 0.480502, 0.742188 
1426, 0.530300, 0.491161, 0.750000 
1457, 0.519238, 0.465045, 0.804688 
1488, 0.526709, 0.467337, 0.773438 
1519, 0.532562, 0.493786, 0.742188 
1550, 0.499166, 0.455961, 0.781250 
1581, 0.477834, 0.470127, 0.742188 
1612, 0.519286, 0.439316, 0.718750 
1643, 0.519805, 0.445078, 0.773438 
1674, 0.495834, 0.464234, 0.695312 
1705, 0.521385, 0.447423, 0.695312 
1736, 0.527956, 0.500492, 0.718750 
1767, 0.555560, 0.492532, 0.695312 
1798, 0.524096, 0.452592, 0.781250 
1829, 0.533332, 0.460292, 0.781250 
1860, 0.553957, 0.487797, 0.718750 
1891, 0.524903, 0.517008, 0.765625 
1922, 0.513710, 0.474119, 0.734375 
1953, 0.461575, 0.475798, 0.796875 
1984, 0.508462, 0.513508, 0.757812 
2015, 0.464519, 0.474102, 0.718750 
2046, 0.506983, 0.480489, 0.750000 
2077, 0.495976, 0.480604, 0.796875 
2108, 0.520916, 0.452663, 0.726562 
2139, 0.499723, 0.475863, 0.773438 
2170, 0.513595, 0.476247, 0.757812 
2201, 0.525277, 0.477119, 0.742188 
2232, 0.491359, 0.476925, 0.789062 
2263, 0.496599, 0.477140, 0.789062 
2294, 0.528985, 0.437171, 0.781250 
2325, 0.465552, 0.458445, 0.742188 
2356, 0.499852, 0.472747, 0.789062 
2387, 0.477185, 0.471834, 0.718750 
2418, 0.506512, 0.477639, 0.773438 
2449, 0.508803, 0.464662, 0.781250 
2480, 0.497491, 0.456134, 0.789062 
2511, 0.542040, 0.476179, 0.765625 
